,,,,day profile demand,,,,,,
hour,volpercent,,,Quarter,value,scaled to one year,,year,total,
0,0.003,,,00:00,0.00075,2.05479E-06,,365,1,
1,0.003,,,00:15,0.00075,2.05479E-06,,1,0.002739726,percentage van energie per jaar
2,0.004,,,00:30,0.00075,2.05479E-06,,,,
3,0.007,,,00:45,0.00075,2.05479E-06,,,,
4,0.01,,,01:00,0.00075,2.05479E-06,,,,
5,0.018,,,01:15,0.00075,2.05479E-06,,,,
6,0.093,,,01:30,0.00075,2.05479E-06,,,,
7,0.157,,,01:45,0.00075,2.05479E-06,,,,
8,0.081,,,02:00,0.001,2.73973E-06,,,,
9,0.075,,,02:15,0.001,2.73973E-06,,,,
10,0.07,,,02:30,0.001,2.73973E-06,,,,
11,0.066,,,02:45,0.001,2.73973E-06,,,,
12,0.071,,,03:00,0.00175,4.79452E-06,,,,
13,0.051,,,03:15,0.00175,4.79452E-06,,,,
14,0.038,,,03:30,0.00175,4.79452E-06,,,,
15,0.033,,,03:45,0.00175,4.79452E-06,,,,
16,0.041,,,04:00,0.0025,6.84932E-06,,,,
17,0.029,,,04:15,0.0025,6.84932E-06,,,,
18,0.061,,,04:30,0.0025,6.84932E-06,,,,
19,0.041,,,04:45,0.0025,6.84932E-06,,,,
20,0.014,,,05:00,0.0045,1.23288E-05,,,,
21,0.018,,,05:15,0.0045,1.23288E-05,,,,
22,0.009,,,05:30,0.0045,1.23288E-05,,,,
23,0.004,,,05:45,0.0045,1.23288E-05,,,,
,,,,06:00,0.02325,6.36986E-05,,,,
,0.997,,,06:15,0.02325,6.36986E-05,,,,
,,,,06:30,0.02325,6.36986E-05,,,,
,,,,06:45,0.02325,6.36986E-05,,,,
,,,,07:00,0.03925,0.000107534,,,,
,,,,07:15,0.03925,0.000107534,,,,
,,,,07:30,0.03925,0.000107534,,,,
,,,,07:45,0.03925,0.000107534,,,,
,,,,08:00,0.02025,5.54795E-05,,,,
,,,,08:15,0.02025,5.54795E-05,,,,
,,,,08:30,0.02025,5.54795E-05,,,,
,,,,08:45,0.02025,5.54795E-05,,,,
,,,,09:00,0.01875,5.13699E-05,,,,
,,,,09:15,0.01875,5.13699E-05,,,,
,,,,09:30,0.01875,5.13699E-05,,,,
,,,,09:45,0.01875,5.13699E-05,,,,
,,,,10:00,0.0175,4.79452E-05,,,,
,,,,10:15,0.0175,4.79452E-05,,,,
,,,,10:30,0.0175,4.79452E-05,,,,
,,,,10:45,0.0175,4.79452E-05,,,,
,,,,11:00,0.0165,4.52055E-05,,,,
,,,,11:15,0.0165,4.52055E-05,,,,
,,,,11:30,0.0165,4.52055E-05,,,,
,,,,11:45,0.0165,4.52055E-05,,,,
,,,,12:00,0.01775,4.86301E-05,,,,
,,,,12:15,0.01775,4.86301E-05,,,,
,,,,12:30,0.01775,4.86301E-05,,,,
,,,,12:45,0.01775,4.86301E-05,,,,
,,,,13:00,0.01275,3.49315E-05,,,,
,,,,13:15,0.01275,3.49315E-05,,,,
,,,,13:30,0.01275,3.49315E-05,,,,
,,,,13:45,0.01275,3.49315E-05,,,,
,,,,14:00,0.0095,2.60274E-05,,,,
,,,,14:15,0.0095,2.60274E-05,,,,
,,,,14:30,0.0095,2.60274E-05,,,,
,,,,14:45,0.0095,2.60274E-05,,,,
,,,,15:00,0.00825,2.26027E-05,,,,
,,,,15:15,0.00825,2.26027E-05,,,,
,,,,15:30,0.00825,2.26027E-05,,,,
,,,,15:45,0.00825,2.26027E-05,,,,
,,,,16:00,0.01025,2.80822E-05,,,,
,,,,16:15,0.01025,2.80822E-05,,,,
,,,,16:30,0.01025,2.80822E-05,,,,
,,,,16:45,0.01025,2.80822E-05,,,,
,,,,17:00,0.00725,1.9863E-05,,,,
,,,,17:15,0.00725,1.9863E-05,,,,
,,,,17:30,0.00725,1.9863E-05,,,,
,,,,17:45,0.00725,1.9863E-05,,,,
,,,,18:00,0.01525,4.17808E-05,,,,
,,,,18:15,0.01525,4.17808E-05,,,,
,,,,18:30,0.01525,4.17808E-05,,,,
,,,,18:45,0.01525,4.17808E-05,,,,
,,,,19:00,0.01025,2.80822E-05,,,,
,,,,19:15,0.01025,2.80822E-05,,,,
,,,,19:30,0.01025,2.80822E-05,,,,
,,,,19:45,0.01025,2.80822E-05,,,,
,,,,20:00,0.0035,9.58904E-06,,,,
,,,,20:15,0.0035,9.58904E-06,,,,
,,,,20:30,0.0035,9.58904E-06,,,,
,,,,20:45,0.0035,9.58904E-06,,,,
,,,,21:00,0.0045,1.23288E-05,,,,
,,,,21:15,0.0045,1.23288E-05,,,,
,,,,21:30,0.0045,1.23288E-05,,,,
,,,,21:45,0.0045,1.23288E-05,,,,
,,,,22:00,0.00225,6.16438E-06,,,,
,,,,22:15,0.00225,6.16438E-06,,,,
,,,,22:30,0.00225,6.16438E-06,,,,
,,,,22:45,0.00225,6.16438E-06,,,,
,,,,23:00,0.001,2.73973E-06,,,,
,,,,23:15,0.001,2.73973E-06,,,,
,,,,23:30,0.001,2.73973E-06,,,,
,,,,23:45,0.001,2.73973E-06,,,,
,,,,,0.997,0.002731507,,,,
