ruimteverwarming,sanitair warm water,elektriciteit,,,totaal,bron
2.79E-05,2.14E-06,2.90E-05,,RV,1.000007841,VREG: slp profiel aardagsverbruik 2021
2.79E-05,2.14E-06,2.79E-05,,SWW,1.000265493,"via aanname norm: profiel gemaakt voor 1 dag, herhaalt voor 365 keer"
2.79E-05,2.14E-06,2.68E-05,,Elek,0.999989109,VREG: slp profiel elektriciteitsverbruik 2021
2.79E-05,2.14E-06,2.71E-05,,,,
2.79E-05,2.14E-06,2.61E-05,,,,
2.79E-05,2.14E-06,2.52E-05,,,,
2.79E-05,2.14E-06,2.49E-05,,,,
2.79E-05,2.14E-06,2.37E-05,,,,
2.91E-05,2.83E-06,2.25E-05,,,,
2.91E-05,2.83E-06,2.20E-05,,,,
2.91E-05,2.83E-06,2.07E-05,,,,
2.91E-05,2.83E-06,1.94E-05,,,,
3.24E-05,4.88E-06,1.92E-05,,,,
3.24E-05,4.88E-06,1.91E-05,,,,
3.24E-05,4.88E-06,1.91E-05,,,,
3.24E-05,4.88E-06,1.86E-05,,,,
3.81E-05,6.94E-06,1.80E-05,,,,
3.81E-05,6.94E-06,1.74E-05,,,,
3.81E-05,6.94E-06,1.71E-05,,,,
3.81E-05,6.94E-06,1.67E-05,,,,
8.16E-05,1.24E-05,1.75E-05,,,,
8.16E-05,1.24E-05,1.74E-05,,,,
8.16E-05,1.24E-05,0.000017049,,,,
8.16E-05,1.24E-05,1.69E-05,,,,
9.10E-05,6.38E-05,1.67E-05,,,,
9.10E-05,6.38E-05,1.74E-05,,,,
9.10E-05,6.38E-05,1.89E-05,,,,
9.10E-05,6.38E-05,2.01E-05,,,,
8.58E-05,0.000107688,2.30E-05,,,,
8.58E-05,0.000107639,2.52E-05,,,,
8.58E-05,0.000107639,2.73E-05,,,,
8.58E-05,0.000107639,2.80E-05,,,,
7.91E-05,5.56E-05,3.03E-05,,,,
7.91E-05,5.56E-05,3.21E-05,,,,
7.91E-05,5.56E-05,0.000033313,,,,
7.91E-05,5.56E-05,3.36E-05,,,,
7.25E-05,5.15E-05,3.53E-05,,,,
7.25E-05,5.15E-05,3.58E-05,,,,
7.25E-05,5.15E-05,3.71E-05,,,,
7.25E-05,5.15E-05,3.72E-05,,,,
6.92E-05,4.80E-05,0.000039106,,,,
6.92E-05,4.80E-05,4.06E-05,,,,
6.92E-05,4.80E-05,4.11E-05,,,,
6.92E-05,4.80E-05,4.17E-05,,,,
6.73E-05,4.53E-05,4.20E-05,,,,
6.73E-05,4.53E-05,4.28E-05,,,,
6.73E-05,4.53E-05,4.33E-05,,,,
6.73E-05,4.53E-05,4.25E-05,,,,
6.54E-05,4.87E-05,4.18E-05,,,,
6.54E-05,4.87E-05,4.15E-05,,,,
6.54E-05,4.87E-05,0.00004073,,,,
6.54E-05,4.87E-05,4.05E-05,,,,
6.40E-05,3.50E-05,4.11E-05,,,,
6.40E-05,3.50E-05,0.000040026,,,,
6.40E-05,3.50E-05,4.02E-05,,,,
6.40E-05,3.50E-05,4.14E-05,,,,
6.74E-05,2.61E-05,4.12E-05,,,,
6.74E-05,2.61E-05,4.11E-05,,,,
6.74E-05,2.61E-05,4.05E-05,,,,
6.74E-05,2.61E-05,4.01E-05,,,,
7.58E-05,2.27E-05,3.98E-05,,,,
7.58E-05,2.27E-05,3.91E-05,,,,
7.58E-05,2.27E-05,4.01E-05,,,,
7.58E-05,2.27E-05,4.10E-05,,,,
8.04E-05,2.82E-05,0.000042515,,,,
8.04E-05,2.82E-05,4.36E-05,,,,
8.04E-05,2.82E-05,4.39E-05,,,,
8.04E-05,2.82E-05,4.47E-05,,,,
7.94E-05,2.01E-05,4.55E-05,,,,
7.94E-05,2.01E-05,4.55E-05,,,,
7.94E-05,2.01E-05,4.46E-05,,,,
7.94E-05,2.01E-05,4.35E-05,,,,
