profiel gemaakt met minimale waarde profiel gas van VREG,profiel SWW via formule,,,,0.99999734,,origineel profiel
1.98E-06,2.14E-06,,,,,,2.05E-06
1.98E-06,2.14E-06,,,,1.000265493,,2.05E-06
1.98E-06,2.14E-06,,,,,,2.05E-06
1.98E-06,2.14E-06,,,,,,2.05E-06
1.98E-06,2.14E-06,,,,,,2.05E-06
1.98E-06,2.14E-06,,,,,,2.05E-06
1.98E-06,2.14E-06,,,,,,2.05E-06
1.98E-06,2.14E-06,,,,,,2.05E-06
1.98E-06,2.83E-06,,,,,,2.74E-06
1.98E-06,2.83E-06,,,,,,2.74E-06
1.98E-06,2.83E-06,,,,,,2.74E-06
1.98E-06,2.83E-06,,,,,,2.74E-06
1.98E-06,4.88E-06,,,,,,4.79E-06
1.98E-06,4.88E-06,,,,,,4.79E-06
1.98E-06,4.88E-06,,,,,,4.79E-06
1.98E-06,4.88E-06,,,,,,4.79E-06
1.98E-06,6.94E-06,,,,,,6.85E-06
1.98E-06,6.94E-06,,,,,,6.85E-06
1.98E-06,6.94E-06,,,,,,6.85E-06
1.98E-06,6.94E-06,,,,,,6.85E-06
1.98E-06,1.24E-05,,,,,,1.23E-05
1.98E-06,1.24E-05,,,,,,1.23E-05
1.98E-06,1.24E-05,,,,,,1.23E-05
1.98E-06,1.24E-05,,,,,,1.23E-05
1.98E-06,6.38E-05,,,,,,6.37E-05
1.98E-06,6.38E-05,,,,,,6.37E-05
1.98E-06,6.38E-05,,,,,,6.37E-05
1.98E-06,6.38E-05,,,,,,6.37E-05
1.98E-06,0.000107688,,,,,,0.000107599
1.98E-06,0.000107639,,,,,,0.00010755
1.98E-06,0.000107639,,,,,,0.00010755
1.98E-06,0.000107639,,,,,,0.00010755
1.98E-06,5.56E-05,,,,,,5.55E-05
1.98E-06,5.56E-05,,,,,,5.55E-05
1.98E-06,5.56E-05,,,,,,5.55E-05
1.98E-06,5.56E-05,,,,,,5.55E-05
1.98E-06,5.15E-05,,,,,,5.14E-05
1.98E-06,5.15E-05,,,,,,5.14E-05
1.98E-06,5.15E-05,,,,,,5.14E-05
1.98E-06,5.15E-05,,,,,,5.14E-05
1.98E-06,4.80E-05,,,,,,4.79E-05
1.98E-06,4.80E-05,,,,,,4.79E-05
1.98E-06,4.80E-05,,,,,,4.79E-05
1.98E-06,4.80E-05,,,,,,4.79E-05
1.98E-06,4.53E-05,,,,,,4.52E-05
1.98E-06,4.53E-05,,,,,,4.52E-05
1.98E-06,4.53E-05,,,,,,4.52E-05
1.98E-06,4.53E-05,,,,,,4.52E-05
1.98E-06,4.87E-05,,,,,,4.86E-05
1.98E-06,4.87E-05,,,,,,4.86E-05
1.98E-06,4.87E-05,,,,,,4.86E-05
1.98E-06,4.87E-05,,,,,,4.86E-05
1.98E-06,3.50E-05,,,,,,3.49E-05
1.98E-06,3.50E-05,,,,,,3.49E-05
1.98E-06,3.50E-05,,,,,,3.49E-05
1.98E-06,3.50E-05,,,,,,3.49E-05
1.98E-06,2.61E-05,,,,,,2.60E-05
1.98E-06,2.61E-05,,,,,,2.60E-05
1.98E-06,2.61E-05,,,,,,2.60E-05
1.98E-06,2.61E-05,,,,,,2.60E-05
1.98E-06,2.27E-05,,,,,,2.26E-05
1.98E-06,2.27E-05,,,,,,2.26E-05
1.98E-06,2.27E-05,,,,,,2.26E-05
1.98E-06,2.27E-05,,,,,,2.26E-05
1.98E-06,2.82E-05,,,,,,2.81E-05
1.98E-06,2.82E-05,,,,,,2.81E-05
1.98E-06,2.82E-05,,,,,,2.81E-05
1.98E-06,2.82E-05,,,,,,2.81E-05
1.98E-06,2.01E-05,,,,,,2.00E-05
1.98E-06,2.01E-05,,,,,,2.00E-05
1.98E-06,2.01E-05,,,,,,2.00E-05
1.98E-06,2.01E-05,,,,,,2.00E-05
1.98E-06,4.19E-05,,,,,,4.18E-05
1.98E-06,4.19E-05,,,,,,4.18E-05
1.98E-06,4.19E-05,,,,,,4.18E-05
1.98E-06,4.19E-05,,,,,,4.18E-05
1.98E-06,2.82E-05,,,,,,2.81E-05
1.98E-06,2.82E-05,,,,,,2.81E-05
1.98E-06,2.82E-05,,,,,,2.81E-05
1.98E-06,2.82E-05,,,,,,2.81E-05
1.98E-06,9.68E-06,,,,,,9.59E-06
1.98E-06,9.68E-06,,,,,,9.59E-06
1.98E-06,9.68E-06,,,,,,9.59E-06
1.98E-06,9.68E-06,,,,,,9.59E-06
1.98E-06,1.24E-05,,,,,,1.23E-05
1.98E-06,1.24E-05,,,,,,1.23E-05
1.98E-06,1.24E-05,,,,,,1.23E-05
1.98E-06,1.24E-05,,,,,,1.23E-05
1.98E-06,6.25E-06,,,,,,6.16E-06
1.98E-06,6.25E-06,,,,,,6.16E-06
1.98E-06,6.25E-06,,,,,,6.16E-06
1.98E-06,6.25E-06,,,,,,6.16E-06
1.98E-06,2.83E-06,,,,,,2.74E-06
1.98E-06,2.83E-06,,,,,,2.74E-06
1.98E-06,2.83E-06,,,,,,2.74E-06
1.98E-06,2.83E-06,,,,,,2.74E-06
1.98E-06,2.14E-06,,,,,,2.05E-06
1.98E-06,2.14E-06,,,,,,2.05E-06
1.98E-06,2.14E-06,,,,,,2.05E-06
1.98E-06,2.14E-06,,,,,,2.05E-06
